id;cardType;alignment;name;rarity;text;flavourText;illustrator;edition
142;Ice;Corporation;Data Naga;uncommon;*Trash a program.n*End the run.;As it says in the Upanishads, O thief: 'You have a right to your labor, but not to the fruits of your labor.';Kaja Foglio;Limited
143;Ice;Corporation;Data Raven;uncommon;*Trace5 - If trace is successful, give Runner a tag and a Data Raven counter. Each Data Raven counter gives Runner a tag at the start of each of his or her turns. Runner may remove a Data Raven counter by taking an action to pay ➊.;;Matt Milberger;Limited
144;Ice;Corporation;Data Wall;common;*End the run.;;Jonnie Wilder;Limited
145;Ice;Corporation;Data Wall 2.0;common;*End the run.;Can't those chimps in Marketing come up with a different name? This isn't just version 2.0 - it's a complete different program!;Jonnie Wilder;Limited
146;Ice;Corporation;Endless Corridor;rare;*End the run.n*End the run.;The light at the end of the tunnel's been turned off to reduce overhead.;Anthony Petrarca;Limited
147;Ice;Corporation;Fang;common;*Trace4 - If trace is successful, end the run, and Runner cannot run again until Runner takes an action to pay ➋.;We provide guide dogs for the morally blind. - Arthur Cohn, JYD Security Enterprises;Kim Francisco;Limited
148;Ice;Corporation;Fang 2.0;common;*Trace5 - If trace is successful, end the run, and Runner cannot run again until Runner takes an action to pay ➋.;;Anson Maddocks;Limited
149;Ice;Corporation;Fatal Attractor;rare;*The next time Runner encounters a piece of ice during the run, do 3 Net damage unless Runner breaks all subroutines of that piece of ice.;;Mark Tedin;Limited
150;Ice;Corporation;Fetch 4.0.1;common;*Trace3 - If trace is succesful, give Runner a tag.;;Kim Francisco;Limited
151;Ice;Corporation;Filter;common;*End the run.;Friendly even to numerically challenged employees, it accepts transposed numerals in the access codes.;Daniel Gelon;Limited
152;Ice;Corporation;Fire Wall;common;*End the run;Heat without tissue damage compliments of nerve induction.;Kim Francisco;Limited
153;Ice;Corporation;Fragmentation Storm;uncommon;*Trace4 - If trace is successful, end the run and trash a program, and Runner cannot run again until Runner takes an action to pay ➊.;;Fellwalker & Tolen;Limited
154;Ice;Corporation;Haunting Inquisition;rare;*Runner cannot make another run during his or her next six actions.n*End the run.;It's just another nightmare, Johnny. Towel off and go back to sleep.;Robert McLees;Limited
155;Ice;Corporation;Homewreckeru2122;common;*Trace5 - If trace is successful, end the run, trash a piece of Hardware, and do 2 meat damage. This damage cannot be prevented.;It does more than discourage intrusions - it keep our fire department contract in the black.;Mark Tedin;Limited
156;Ice;Corporation;Hunter;uncommon;*Trace5 - If trace is succesful, give Runner a tag.;;Kim Francisco;Limited
157;Ice;Corporation;Karte Pick Willie;common;*Trash a program.n*End the run.;Nice 'breaker you got there. Hate to see anything happen to it.;Mark Poole;Limited
158;Ice;Corporation;Jack Attack;uncommon;*For the remainder of the run, Runner cannot jack out.n*Trace5 - If trace is succesful, give Runner a tag.;;Anson Maddocks;Limited
159;Ice;Corporation;Keeper;common;*End the run.;All computers wait at the same speed.;Daniel Gelon;Limited
160;Ice;Corporation;Laser Wire;rare;*Do 1 Net damage.n*End the run.;;Kim Francisco;Limited
161;Ice;Corporation;Liche;uncommon;*Do 1 brain damage.n*Do 1 brain damage.n*Do 1 brain damage.n*End the run.;;Mark Poole;Limited
162;Ice;Corporation;Mastiff;uncommon;*Do 1 brain damage.n*Do 1 Net damagen*For the remainder of the run, all ice is encountered at +1 strength.n*Trace5 - If trace is successful, give Runner a Mastiff counter. Each Mastiff counter does 1 brain damage at the start of each run. Runner may remove a Mastiff counter by taking an action to spend ➍.n*End the run.;;Doug Shuler;Limited
163;Ice;Corporation;Mazer;uncommon;*End the run.;Some Greek software house makes a variant that includes a killer with a minotaur motif. If you take too long to get through, it sics the minotaur on you, instead of cutting your connection. Lame cliches never die, I guess. - Spider Murphy;Daniel Gelon;Limited
164;Ice;Corporation;Nerve Labyrinth;rare;*Do 2 Net damage.n*End the run.;"If you're authorized, it's a smooth ride through;if you're not, you get a brain-twist of someone else's idea of normalcy. - Spider MurphynBut it's a great training ground for navigating wilderspace. - Rache Bartmoss";Anson Maddocks;Limited
165;Ice;Corporation;Neural Blade;common;*Do 1 Net damage.n*Runner cannot break any subroutines of the next piece of encountered during the run.;;Mark Poole;Limited
166;Ice;Corporation;u03C0 in the 'Face;common;*End the run.;Nyuk, nyuk, nyuk ... ;Robert McLees;Limited
167;Ice;Corporation;Pocket Virtual Reality;uncommon;*Trace6 - If trace is succesful, give Runner a tag.n*Trace6 - If trace is succesful, give Runner a tag.nWhenever Pocket Virtual Reality is encountered, gain ➍. Use these bits only to pay for the above traces. When the encounter ends, return to the bank any of the ➍ you did not spend.;;Fellwalker & Tolen;Limited
168;Ice;Corporation;Quandary;common;*End the run.;So many decisions, so little ti- ;Daniel Gelon;Limited
169;Ice;Corporation;Razor Wire;rare;*Do 2 Net damage.n*End the run.;;John Casebeer;Limited
170;Ice;Corporation;Reinforced Wall;rare;*End the run.n*End the run.;;Kim Francisco;Limited
171;Ice;Corporation;Rex;common;*Trace3 - If trace is succesful, end the run, and Runner cannopt run again until Runner takes an action to pay ➋.;;Brian Booker;Limited
172;Ice;Corporation;Rock Is Strong;uncommon;*End the run.;I hear we have to watch out for a new icebreaker called 'Paper is True.';Anson Maddocks;Limited
173;Ice;Corporation;Scramble;common;*End the run;;Daniel Gelon;Limited
174;Ice;Corporation;Sentinels Prime;uncommon;*Trash a program.n*End the run.;;Kevin Tylor;Limited
175;Ice;Corporation;Shock.r;uncommon;*Runner cannot break any subroutines of the next piece of ice encountered during the run, and cannot jack out until after that encounter.;;Mark Collen;Limited
176;Ice;Corporation;Shotgun Wire;rare;*Do 2 Net damage.n*End the run.;;Kim Francisco;Limited
177;Ice;Corporation;Sleeper;common;*End the run.;;Daniel Gelon;Limited
178;Ice;Corporation;TKO 2.0;common;*End the run, and Runner forgoes his or her next action.;There's nothing like a right hook to the left side of your brain to throw you a loop. - Digital Dana;John Casebeer;Limited
179;Ice;Corporation;Too Many Doors;rare;*Secretly spend [0], ➊, or ➋; Runner does the same. Then you and Runner reveal how much each of you spent. End the run unless you spent as many bits as Runner spent.;Pete Venters;Limited
180;Ice;Corporation;Triggerman;common;*Trash a program.n*End the run.;Sweetheart, the emotional processing of two lonely ROM constructs isn't allocated a megabyte of RAM in this crazy world.;Mike Kimble;Limited
181;Ice;Corporation;Tutor;rare;*For the remainder of the run, all ice encountered has an additional subroutine, *End the run, after all other subroutines.;;Mark Collen;Limited
182;Ice;Corporation;Vacuum Link;rare;*Roll a die. If you roll a 1, 2, or 3, Runner resumes the run from that many pieces of rezzed ice back, or jacks out. If there are not that many pieces of ice, Runner returns to the first piece of ice.;;Robert McLees;Limited
183;Ice;Corporation;Viral 15;uncommon;*For the remainder of the run, Runner must pay ➊ to jack out, in addition to any other costs.n*For the remainder of the run, Runner trashes an installed program after passing each piece of rezzed ice, including Viral 15, unless Runner jacks out.;;Robert McLess;Limited
184;Ice;Corporation;Virizz;uncommon;*For the remainder of the run, Runner must pay an additional ➊ to break each ice subroutine.;;Doug Shuler;Limited
185;Ice;Corporation;Wall of Karte;rare;*Do 2 Net damage.n*Do 2 Net damage.n*End the run.n*End the run.;;Mark Tedin;Limited
186;Ice;Corporation;Wall of Static;common;*End the run.;;Kim Francisco;Limited
187;Ice;Corporation;Zombie;common;*Do 1 brain damage.n*Do 1 brain damage.n*End the run.;Every time a runner encounters a Zombie again, she's gotta be sayin' to herself, You used to be smarter than this!;Pete Venters;Limited
188;Prep;Runner;All-Nighter;common;Make a run; whether or not that run is successful, you may then make another run. Of course, you start to hallucinate if you string too many of these together.;Christina Wald;Limited
189;Prep;Runner;Anonymous Tip;rare;Derez a piece of black ice of your choice.;Netwatch doesn't take hints about corporate infractions. If you really want them to apply some heat to a patch of black ice, get a Hellhound to follow your link back to their offices.;Margaret Organ-Kean;Limited
190;Prep;Runner;Arasaka Owns You;rare;Do not play Arasaka Owns You as a normal action; instead, play it when you would suffer enough damage to flatline you. Prevent all of that damage, trash Arasaka Owns You, remove any brain damage you have suffered, and then refresh your hand to its maximum size. Gain ➓ and remove all tags, at no cost. You forgo your next four actions, and you forfeit the next 3 agenda points you score.;Craig Gilmore;Limited
191;Prep;Runner;Bodyweightu2122 Synthetic Blood;uncommon;Draw five cards.;;Pete Venters;Limited
192;Prep;Runner;Core Command: Jettison Ice;uncommon;Play only if you made a successful run on HQ this turn. Pay the rez cost of a piece of rezzed ice to trash it.;;Kevin Stein;Limited
193;Prep;Runner;Custodial Position;common;Make a run on R&D. If run is successful, access two additional cards from R&D.;;James Alllen Higgins;Limited
194;Prep;Runner;Deal with Militech;rare;Play only if you liberated any Research agendas this turn. Put a Militech counter on each of your icebreakers. A Militech counter gives the icebreaker it is on +1 strength.;;Pete Venters;Limited
195;Prep;Runner;Desperate Competitor;rare;Play only if you liberated any Gray Ops agendas this turn. Score 1 agenda point.;We appreciate that you've already promised this property to someone else, and we wouldn't expect you to compromise your honor without proper compensation.;Craig Gilmore;Limited
196;Prep;Runner;Edited Shipping Manifests;common;"Make a run on HQ. If run is successful, and the Corp has any bits when you would access HQ, do not access cards from HQ;instead, the Corp loses ➊ and gives you a tag, and you gain ➓.";It's another delivery to that warehouse in Chiba for Smith. What does he do with all that product?;Dave Pilurs;Limited
197;Prep;Runner;Executive Wiretraps;common;Make a run on HQ. If run is successful, access two additional cards from HQ.;;Mark Collen;Limited
198;Prep;Runner;Forged Activation Orders;rare;Choose a piece of ice. The Corp either rezzes that piece of ice or trashes it.;;Dave Pilurs;Limited
199;Prep;Runner;Forgotten Backup Chip;common;Search your trash for a program and bring it into your hand.;"Solo teams are a crap shoot: sometimes they kill you;on the other hand, sometimes you find neat stuff while hiding in your flat.";Randy Gallegos;Limited
200;Prep;Runner;Fortress Respecification;rare;Play only if you made a successful run this turn. Rearrange the ice installed on the last fort on which you made a successful run. This does not expose any concealed ice.;;Dave Pilurs;Limited
201;Prep;Runner;Gideon's Pawnshop;common;Search your trash for a card and bring it into your hand.;The runner stuff's cheap 'cause their next of kin don't know what it's worth any better than the shop owners do.;Mark Collen;Limited
202;Prep;Runner;Hot Tip for WNS;rare;Score 1 agenda point if you liberated any Black Ops agendas this turn.;A plot to assassinate Elvis - bizarre but true, and we'll tell you all about it at eleven.;Sue Ann Harkey;Limited
203;Prep;Runner;Hunt Club BBS;common;Expose up to three installed cards.;The Hunt Club got it's name from the original programmers, who were self-described 'hunters,' corporate programmers who moonlighted as freelance counter-intrusion agents. - Rache Bartmoss;Anthony Petrarca;Limited
204;Prep;Runner;Ice and Data's Guide to the Net;uncommon;Expose the outermost ice of each data fort.;Meet the ice without hitting the skids. - Advert;Sue Ann Harkey;Limited
205;Prep;Runner;If You Want It Done Right...;common;Look through the top five cards of your stack. Bring one of those cards into your hand, and arrange the rest in any order you choose.;... you gotta do it yourself.;Zak Plucinski;Limited
206;Prep;Runner;Inside Job;uncommon;Make a run. You automatically pass the first piece of ice you encounter during that run.;Kartearation beats expiration, if you ask me. - Edger;Ernie Chan;Limited
207;Prep;Runner;Jack 'n' Joe;common;Draw three cards.;There's too much blood in my caffeine system.;Pete Venters;Limited
208;Prep;Runner;Kilroy Was Here;uncommon;Make a run on R&D; you may trash, at no cost, any cards you access that were stored in R&D, even if the cards cannot normally be trashed.Art is a form of catharsis.;Sue Ann Harkey;Limited
209;Prep;Runner;Livewire's Contacts;common;Gain ➌.;Let's get something clear, punk. Out there, you might be a big-shot chiphead with your uptown inputs, but down here you're just another skinny geek from the wrong side of the barricades. So sit down, buy me a Fizz, and let me do all the talking.;Lawrence Snelly;Limited
210;Prep;Runner;Lucidrineu2122 Booster Drug;uncommon;Make a run, and gain ➒, which you may use only during that run. After that run is completed, suffer 1 brain damage; this damage cannot be prevented. Then, return to the bank any of the ➒ not spent.;Pete Venters;Limited
211;Prep;Runner;Mantis,Fixer-at-Large;common;Search your stack for a card, and bring it into your hand. Reshuffle your stack afterwards.;Yeah, I can get it for you, and if you want me to break a few fingers, I'll throw that in for free.;Ernie Chan;Limited
212;Prep;Runner;misc.for-sale;rare;Trash any number of your installed cards. Gain ➌ for each card trashed in this way.;Why throw it away when you can convince some half-brained weef to use it for creative suicide instead? - Rache Bartmoss;Robert McLees;Limited
213;Prep;Runner;MIT West Tier;rare;Shuffle your hand, trash, and stack together, and then draw five cards. When you play MIT West Tier, remove it from the game instead of trashing it.;;John Park;Limited
214;Prep;Runner;Open-Ended® Mileage Program;common;Remove a tag, at no cost. You may pay ➊ when you play Open-Ended® Mileage Program to take it back into your hand instead of trashing it.;;John Park;Limited
215;Prep;Runner;Organ Donor;rare;Trash up to five cards from your hand. Gain ➋ for each card trashed in this way.;I really need the scratch, and well, I do have two of them... .;Pete Venters;Limited
216;Prep;Runner;Playful AI;rare;Roll a die. On a 1, 2, or 3, gain that many bits, set aside that many dice to roll again, or choose some combination thereof. Repeat until you have rolled all the dice you set aside.;Gaming is a mode of transferring property without producing any intermediate good. - Samuel Johnson;Pete Venters;Limited
217;Prep;Runner;Priority Wreck;rare;"Make a run on HQ. If run is successful, do not access cards from HQ;instead, pay any number of bits to force the Corp to lose that many bits.";"Your personal icon is unrecognized, Chairman;I cannot process this file. Please input authorization code within - Thank you. Filename 'Suckers!' overwrite of HQ datacore commencing as requested!";Dave Pilurs;Limited
218;Prep;Runner;Private LDL Access;uncommon;Make a run on HQ. If run is successful, do not access cards from HQ; instead, treat run as a successful run on R&D.;John Park;Limited
219;Prep;Runner;Romp through HQ;uncommon;"Make a run on HQ;you may trash, at no cost, any cards you access that were stored in HQ, even if the cards cannot normally be trashed.";I love the sound of screaming crystal. Sadly, I seem to be the one to hear it. - Rache Bartmoss;Kevin Taylor;Limited
220;Prep;Runner;Score!;common;Gain ➒.;If someone has consistently good luck, it ain't luck. - Spider Murphy;Zak Plucinski;Limited
221;Prep;Runner;Security Code WORM Chip;uncommon;Play only if you made a successful run on HQ this turn. Trash a piece of unrezzed ice.;;Robert McLees;Limited
222;Prep;Runner;Sneak Preview;rare;Choose a program from your trash or search your stack for a program. Install that program, at no cost. Shuffle your stack afterwards. At the end of the turn, take the program into your hand.;;Sue Ann Harkey;Limited
223;Prep;Runner;Social Engineering;uncommon;Hide at least 2 from your pool in your hand; the Corp then guesses how many bits you hid. If the Corp guesses correctly, lose that many bits. Otherwise, choose a data fort and a piece of ice on that fort. Then make a run on that fort, during which you automatically pass that piece of ice.;Zak Plucinski;Limited
224;Prep;Runner;Stumble through Wilderspace;rare;Make a run. You have +9 link for every trace attempt made during that run.;So I guess what Wilderspace really is to me is the Net in the raw. - Edger, Wilderspace is Nothing;Sue Ann Harkey;Limited
225;Prep;Runner;Synchronized Attack on HQ;rare;Play only if you made a successful run on HQ this turn. The Corp discards all cards. The Corp can retain cards by paying ➋ for each card not discarded.;You just take out the guards. Let me worry about the doors and elevators.;Craig Gilmore;Limited
226;Prep;Runner;Temple Microcode Outlet;common;Search your stack for a program. Show that program to the Corp, and then bring it into your hand. Reshuffle your stack afterwards.;;Dave Pilurs;Limited
227;Prep;Runner;Terrorist Reprisal;rare;Play only if the Corp scored any Black Ops agendas during its last turn. The Corp discards five cards at random.;So what did you tell Hiro when he asked if you'd accept half?nI said, 'No problem. Which half of your daughter do you want back?;Mark Collen;Limited
228;Prep;Runner;Total Genetic Retrofit;rare;Remove all tags, at no cost, and automatically avoid receiving your next tag.;Twenty years ago it would have been just a new set of fingerprints.;Doug Chaffee;Limited
229;Prep;Runner;Valu-Pak Software Bundle;uncommon;Gain up to five consecutive actions, which you may use only to install programs, and gain ➊. If you do not spend the bit during these actions, return it to the bank afterwards.;;John Park;Limited
230;Prep;Runner;Weather-to-Finance Pipe;uncommon;"Make a run on HQ. If run is successful, do not access cards from HQ;instead, the Corp loses ➍.";"Fractal weather system modeling is best routed to Accounts Receivable if you wanted to caused a stir;a route to Market Research is likely to go unnoticed.";Sue Ann Harkey;Limited
231;Program;Runner;Afreet;uncommon;Afreet can have up to 3 MU of programs installed in it. All icebreakers installed in Afreet have their strength reduced by 1. If Afreet leaves play, trash all programs installed in it.;;Mike Kimble;Limited
232;Program;Runner;AI Boon;rare;➊: Break sentry subroutine.n➊: +1 strength.nAt the start of each run, roll a die to determine AI Boon's strength * for that run.;Everything was going great until a Viral 18 wiped the instruction manual.;Higgins & King;Limited
233;Program;Runner;Baedeker's Net Map;common;[0]: Base link 1n➊: +1 linknUse only one base link card for each trace attempt made against you.;I knew I should have taken the left region from Albuquerque!;Doug Shuler;Limited
234;Program;Runner;Bakdooru2122;uncommon;[0]: Base link 3n➋: +1 linknUse only one base link card for each trace attempt made against you.;;Kevin Taylor;Limited
235;Program;Runner;Bartmoss Memorial Icebreaker;rare;➊: Break ice subroutine.n➊: +1 strengthnAfter passing each piece of ice, roll a die if you used Bartmoss Memorial Icebreaker to break any subroutines of that ice. On a 1, trash Memorial Icebreaker.;;Ash Arnett;Limited
236;Program;Runner;Black Dahlia;vital;➋: Break sentry subroutine.n➋: +1 strength;She broke my heart - but at least she showed it to me first.;Maria P. Cabardo;Limited
237;Program;Runner;Blink;uncommon;[0]: Roll a die. On a 4, 5, or 6, break ice subroutine; otherwise, suffer that much Net damage. Use this ability only once on each subroutine during each encounter with a piece of ice.;Dave Pilurs;Limited
238;Program;Runner;Boardwalk;uncommon;Whenever you make a successful run on HQ, give the Corp a Boardwalk counter. At the start of each of your turns, every two Boardwalk counters require the Corp to show you, at random, a card stored in HQ. If the Corp does not have enough cards stored in HQ, the Corp shows you as many cards as it has.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Sue Ann Harkey;Limited
239;Program;Runner;Butcher Boy;uncommon;Whenever you make a successful run on HQ, give the Corp a Butcher Boy counter. Every two Butcher Boy counters gain you ➊ at the start of each of your turns.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Norm Dwyer;Limited
240;Program;Runner;Cascade;uncommon;Whenever you make a successful run on R&D, give the Corp a Cascade counter. Every two Cascade counters require the Corp to trash faceup one card stored in R&D, at the start of each of its turns.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Doug Shuler;Limited
241;Program;Runner;Cloak;common;Put ➌ from the bank on Cloak when it is installed. Use these bits only to pay for using icebreakers during runs, but not for using noisy icebreakers. If you use any of these bits, replace them at the start of your next turn.;Avoid a netfight if at all possible. You never know when fortune will turn. - Spider Murphy;Doug Shuler;Limited
242;Program;Runner;Clown;common;All ice is encountered with its strength reduced by 1.;;Mark Collen;Limited
243;Program;Runner;Cockroach;uncommon;Whenever you make a successful run on HQ, give the Corp a Cockroach counter. Two or more Cockroach counters cause all discards from HQ to become random.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Norm Dwyer;Limited
244;Program;Runner;Codecracker;vital;[0]: Break code gate subroutine.n➊: +1 strength;This product for use by holder of class-A locksmith certification. Propagation of this software and use without proper certification are felony offenses. (Yeah, right.);Dough Shuler;Limited
245;Program;Runner;Codeslinger;vital;➊: Break sentry subroutine.;There ain't enough bits in this here register fer the both of us, pardner.;Tony Luke;Limited
246;Program;Runner;Cyfermasteru2122;vital;➋: Break code gate subroutine.n➊: +1 strength;"You can pick a lock;you can pick your friends. Now, thanks to Cyfermaster ...";Mark Poole;Limited
247;Program;Runner;Deep Thought;rare;Whenever you make a successful run on R&D, give the Corp a Thought counter. Three or more Thought counters allow you to look at the top card of R&D at the start of each of your turns.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Norm Dwyer;Limited
248;Program;Runner;Dogcatcher;uncommon;➊: Break pit bull, hellhound, bloodhound, or watchdog subroutine.n➊: +1 strength;;James Allen Higgins;Limited
249;Program;Runner;Droppu2122;uncommon;[0]: Break ice subroutine.n➊: +1 strengthnUsing Droppu2122 ends your run.;;Todd Wade;Limited
250;Program;Runner;Dupr®;rare;➊: Break code gate subroutine.n➋: +1 strengthnPut a +1 strength counter on Dupr® after each run during which it was used to break a subroutine. All strength counters on Dupr® are lost if you use Dupr® on a fort other than the one you last used it on.;;Robert McLees;Limited
251;Program;Runner;Dwarf;common;➊: Break wall subroutine.n➊: +1 strength;;Norm Dwyer;Limited
252;Program;Runner;Emergency Self-Construct;rare;"[T]: Prevent yourself from being flatlined, though you still lose all cards in your hand. Remove all brain damage. For the remainder of the game, you have only three actions per turn, instead of four;your hand size is reduced by 1;and all meat damage is automatically prevented.";;Mark Poole;Limited
253;Program;Runner;Evil Twin;rare;➌: Break sentry subroutine.n➊: +1 strengthnPrevents up to 2 Net and/or brain damage total each turn.;Haven't I seen you somewhere before?;Mark Tedin;Limited
254;Program;Runner;Expert Schedule Analyzer;uncommon;After you access cards from HQ, look at all cards stored in HQ.;;Doug Shuler;Limited
255;Program;Runner;Fait Accompli;uncommon;Whenever you make a successful run on a subsidiary data fort, put a Fait counter in that fort. Every two Fait counters in a fort give +1 difficulty to all agendas installed inside that fort.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Kevin Taylor;Limited
256;Program;Runner;False Echo;rare;➋: The Corp must rez as much ice as possible on a fort, beginning with the outermost ice and working in. Use this ability only after a successful run on that fort.;;Pete Venters;Limited
257;Program;Runner;Flak;uncommon;➊: Break AP subroutine.n➊: +1 strength;;Mark Collen;Limited
258;Program;Runner;Force Shield;common;Prevents up to 2 Net and/or brain damage total each turn.;"Never use 'em;don't need 'em. My brain's been smoked so much that my myelin's vulcanized. That's why my ears are always dirty. - Rache Bartmoss";Doug Shuler;Limited
259;Program;Runner;Gremlins;uncommon;Whenever you make a successful run on HQ, give the Corp a Gremlin counter. Every two Gremlin counters decrease the Corp's hand size by 1.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Doug Shuler;Limited
260;Program;Runner;Grubb;uncommon;➊: Break wall subroutine.n➋: +1 strength for the remainder of this run;Is it really more nauseating than Worm?nYou've got to see it to believe it.;Norm Dwyer;Limited
261;Program;Runner;Hammer;vital;➊: Break wall subroutine.n➊: +1 strength.nWhenever you break a wall subroutine with Hammer, lose a total of ➋ from stealth cards.;;Mark Poole;Limited
262;Program;Runner;I Spy;uncommon;[T]: Put a Spy counter in a data fort. A Spy counter exposes all cards installed inside or on a fort containing it. The Corp may remove a Spy counter by taking an action to pay ➍. Use this ability only immediately after a successful run on that fort.;;Mark Poole;Limited
263;Program;Runner;Imp;uncommon;Imp can have up to 2 MU of programs installed in it. All icebreakers installed in this way have their strength reduced by 1. If Imp leaves play, trash all programs installed in it.;;Mike Kimble;Limited
264;Program;Runner;Incubator;rare;Whenever you make a successful run, give the Corp an Incubate counter. Each Incubate counter necessitates a die roll at the start of each of your turns; on each 6, choose a Virus counter and exchange that counter for two counters of the same cardType.nThe Corp may remove all Virus counters by forgoing its next three actions.;Norm Dwyer;Limited
265;Program;Runner;Invisibility;common;Put ➊ from the bank on Invisibility when it is installed. Use this bit only to pay for using icebreakers during runs, but not for using noisy icebreakers. If you use the bit, replace it at the start of your next turn.;;Mark Tedin;Limited
266;Program;Runner;Jackhammer;vital;[0]: Break wall subroutine.n➊: +1 strengthnWhenever you break a wall subroutine with Jackhammer, lose ➊, if you can, from a stealth card.;;Norm Dwyer;Limited
267;Program;Runner;Japanese Water Torture;rare;[0]: Break wall subroutine.n[X]: +X strength, and forgo your next X actions.;;Jonnie Wilder;Limited
268;Program;Runner;Joan of Arc;rare;[T]: Prevent one or more of your other installed programs from being trashed.➊: Prevent one or more of your other installed programs from being trashed, and bring Joan of Arc into your hand.;;John Casebeer;Limited
269;Program;Runner;Krash;uncommon;➋: Break ice subroutine.n➋: +1 strength;;Jonnie Wilder;Limited
270;Program;Runner;Loony Goon;vital;➊: Break sentry subroutine.n➊: +1 strength ;Of course you realize ... this means war.;Tony Luke;Limited
271;Program;Runner;Microtech AI Interface;rare;Whenever you are about to access cards from R&D, you may first choose to cut any number of cards from the top of R&D to the bottom of R&D.;;Doug Shuler;Limited
272;Program;Runner;Mouse;uncommon;A: Expose a card installed inside a data fort.;If a man . . . make a better mousetrap than his neighbour, tho' he build his house in the woods, the world will make a beaten path to his door. - Ralph Waldo Emerson, quoted by Sarah S.B. Yule, Borrowings;Mark Collen;Limited
273;Program;Runner;Mystery Box;rare;[0]: Show the top five cards of your stack to the Corp. If any of those cards are programs, trash Mystery Box and then install one of those programs, at no cost. Shuffle your stack afterwards. Use this ability only during a run and only once each run.;;Kevin Taylor;Limited
274;Program;Runner;Netspace Inverter;rare;Reverse a fort's ice cards so that the outermost piece of ice becomes the innermost piece of ice, and so forth. Use this ability only immediately after a successful run on that data fort.;;Mark Collen;Limited
275;Program;Runner;Newsgroup Filter;uncommon;A: Gain ➋.;You can find some useful stuff in the newsgroups if you can enlist an AI with the patience to wade through all the garbage.;Sue Ann Harkey;Limited
276;Program;Runner;Pattel's Virus;uncommon;Whenever you make a successful run, put a Pattel counter on a piece of ice that had all its subroutines broken during that run. Each Pattel counter on a piece of ice reduces its strength by 1.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Sue Ann Harkey;Limited
277;Program;Runner;Pile Driver;vital;➌: Break up to four wall subroutines on a single piece of ice.n➊: +1 strength.nWhenever you use Pile Driver's break-walls subroutine, lose a total of ➌, from stealth cards.;;Norm Dwyer;Limited
278;Program;Runner;Poltergeist;rare;Put ➋ on Poltergeist when it is installed. Use these bits only to pay for trashing nodes. If you use any of these bits, replace them at the start of your next turn.;;Mark Tedin;Limited
279;Program;Runner;Pox;uncommon;Whenever you make a successful run, put a Pox counter in the fort that was run. Every two Pox counters in a fort require the Corp to pay ➊, in addition to any other costs, to install a card inside or on that fort.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Norm Dwyer;Limited
280;Program;Runner;R&D Protocol Files;uncommon;A: Make a run on R&D, but instead of accessing cards, look at the top five cards of R&D.;;Doug Shuler;Limited
281;Program;Runner;Rabbit;uncommon;Ice that attempts to trace you has its trace limit reduced by 1.;;Mark Collen;Limited
282;Program;Runner;Raffles;vital;➊: Break code gate subroutine.n➋: +1 strength;;Mark Collen;Limited
283;Program;Runner;Ramming Piston;vital;➋: Break wall subroutine.n➊: +1 strengthnWhenever you break a wall subroutine with Ramming Piston, lose a total of ➋ from stealth cards.;;Norm Dwyer;Limited
284;Program;Runner;Raptor;vital;➋: Break sentry subroutine.n➊: +1 strength;There's nothing quite like the screech of a Raptor echoing through the data halls as it sweeps in for a kill.;Higgins & King;Limited
285;Program;Runner;Reflector;rare;[0]: Break stun, hellbolt, or knockout subroutine.;This icebreaker is basically a last-ditch defense for when your Killers aren't getting the job done. It takes advantage of a design flaw in these sorts of ice to reflect their unique signals back at them, crashing their detection routines. - Digital Dana;Kevin Taylor;Limited
286;Program;Runner;Replicator;uncommon;[0]: Break ice subroutine that traces.n➊: +1 strength;;Lawrence Brown;Limited
287;Program;Runner;Scatter Shot;rare;Put ➋ from the bank on Scatter Shot when it is installed. Use these bits only to pay for trashing upgrades. If you use any of these bits, replace them at the start of your next turn.;;Mark Collen;Limited
288;Program;Runner;SeeYa;common;A, ➊: Expose an installed card.;It's like a pair of magic specs. - Urza Bloodrunner;Mark Collen;Limited
289;Program;Runner;Self-Modifying Code;rare;[T]: Search your stack for a program and install that program, if you can. Shuffle your stack afterwards. Use this ability only during a run.;Now, if I could just do this with my DNA ... on the fly ... while eating. - Rache Bartmoss;Jonnie Wilder;Limited
290;Program;Runner;Shaka;vital;➊: Break sentry subroutine.n➋: +1 strength;;Tony Luke;Limited
291;Program;Runner;Shield;common;Prevents up to 2 Net damage each turn.;Practice safe hacks: use Spartan® shields.;Kevin Taylor;Limited
292;Program;Runner;Shredder Uplink Protocol;uncommon;"A: Make a run on the Archives. If run is successful, do not access cards from the Archives;instead, treat run as a successful run on HQ.";Gives a whole new meaning to the term 'trashing.';Doug Shuler;Limited
293;Program;Runner;Signpost;uncommon;➊: +2 link. Use this ability only once during each trace attempt, and only after you and the Corp have revealed how much each of you spent.;;Mark Collen;Limited
